当前价-0,成交总量-1,成交总额-2,持仓量-3,昨结算-4,成交笔数-5,市盈率1-6,开盘价-8,最高价-9,时间戳-G,最低价-a,今结算-b,前收盘-c,多档委买价-d,多档委买量-e,多档委卖价-f,多档委卖量-g,,
8.72,591728,517901102,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:15,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 472, 7953, 13900, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3211, 1439, 1570, 2363, 2605",59172800,8.752350776
8.72,592049,518181014,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:18,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 171, 7971, 13900, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3211, 1439, 1570, 2363, 2605",59204900,8.752333236
8.72,592088,518215022,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:21,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 142, 7971, 13890, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3211, 1439, 1570, 2363, 2605",59208800,8.752331106
8.72,592091,518217639,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:24,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 142, 7971, 13892, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3180, 1439, 1570, 2363, 2605",59209100,8.752330959
8.72,592118,518241183,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:27,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 233, 7971, 13902, 12631, 9358"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3180, 1439, 1570, 2363, 2605",59211800,8.752329485
8.71,593171,519158682,0,0,0,6.7,8.85,8.9, 2018-07-16 14:10:30,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7110, 13902, 12631, 9358, 4424"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 9, 3152, 1439, 1570, 2363",59317100,8.752260006
8.71,593258,519234487,0,0,0,6.7,8.85,8.9, 2018-07-16 14:10:33,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7060, 13902, 12631, 9388, 4424"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3150, 1439, 1570, 2363, 2605",59325800,8.752254281
8.73,593261,519237102,0,0,0,6.72,8.85,8.9, 2018-07-16 14:10:36,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 61, 7058, 13902, 12631, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3160, 1439, 1570, 2363, 2605",59326100,8.752254101
8.72,593297,519268499,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:39,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 30, 7121, 13903, 12631, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3155, 1439, 1570, 2363, 2605",59329700,8.752252228
8.72,593297,519268499,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:42,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 40, 7131, 13903, 12602, 9388"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3159, 1439, 1570, 2363, 2605",59329700,8.752252228
